Building Public ID,Building Type,Building Use,Building Location Region,Building New or Renovation,Building Area in Square Meters,Building Area in Square Feet,Building Storeys,Life Cycle Assessment Year,Life Cycle Assessment Reference Period,Life Cycle Assessment Source Code,Life Cycle Assessment Stages,Life Cycle Assessment Building Scope,Life Cycle Assessment Material Quantity,Embodied Carbon Whole Building Excluding Operational,Embodied Carbon Life Cycle Assessment Area Per Square Meter,Minimum Building Area in Square Meters,Maximum Building Area in Square Meters,Minimum Building Area in Square Feet,Maximum Building Area in Square Feet,Minimum Building Storeys,Maximum Building Storeys
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,15 to 25,2016.0,40.0,41.0,AB,SF,Y,606.78,490.11,92903.0,1000000000.0,1000000,inf,15.0,25.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,587.14,485.95,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",More than 25,2016.0,40.0,41.0,AB,SF,Y,595.56,485.79,18581.0,46451.0,200001,500000.0,25.0,1000000000.0
A00,Residential,Multi-family,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,599.12,478.97,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Other,North America,New,9291 to 18580,"100,001 to 200,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,611.95,473.77,9291.0,18580.0,100001,200000.0,1.0,6.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,570.73,473.32,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Residential,Multi-family,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",7 to 14,2016.0,40.0,41.0,AB,SF,Y,592.36,473.26,46452.0,92903.0,500001,1000000.0,7.0,14.0
A00,Commercial,Other,Asia-Pacific,New,Over 92903,Over 1 million,7 to 14,2016.0,40.0,41.0,AB,SF,Y,569.02,472.28,92903.0,1000000000.0,1000000,inf,7.0,14.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,7 to 14,2016.0,40.0,41.0,AB,SF,Y,573.27,471.3,92903.0,1000000000.0,1000000,inf,7.0,14.0
A00,Residential,Multi-family,North America,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,584.9,470.11,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Mixed use,North America,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,576.23,469.77,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Mixed use,Asia-Pacific,New,4646 to 9290,"50,001 to 100,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,606.36,467.69,4646.0,9290.0,500001,100000.0,1.0,6.0
A00,Commercial,Office,Asia-Pacific,New,930 to 2323,"10,001 to 25,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,590.23,466.84,930.0,2323.0,10001,25000.0,7.0,14.0
A00,Residential,Multi-family,North America,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,552.83,465.66,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,572.91,465.02,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",More than 25,2016.0,40.0,41.0,AB,SF,Y,591.39,464.89,18581.0,46451.0,200001,500000.0,25.0,1000000000.0
A00,Commercial,Office,North America,New,46452 to 92903,"500,001 to 1 million",15 to 25,2016.0,40.0,41.0,AB,SF,Y,563.33,464.32,46452.0,92903.0,500001,1000000.0,15.0,25.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,520.71,462.89,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",15 to 25,2016.0,40.0,41.0,AB,SF,Y,546.87,457.53,46452.0,92903.0,500001,1000000.0,15.0,25.0
A00,Commercial,Mixed use,Middle East,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,569.86,455.78,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Other,North America,New,46452 to 92903,"500,001 to 1 million",7 to 14,2016.0,40.0,41.0,AB,SF,Y,584.46,451.28,46452.0,92903.0,500001,1000000.0,7.0,14.0
A00,Commercial,Office,Europe,New,9291 to 18580,"100,001 to 200,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,504.79,446.21,9291.0,18580.0,100001,200000.0,7.0,14.0
A00,Residential,Multi-family,Asia-Pacific,New,9291 to 18580,"100,001 to 200,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,555.91,440.55,9291.0,18580.0,100001,200000.0,7.0,14.0
A00,Commercial,Lodging,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,518.02,439.96,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,564.22,439.41,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Residential,Multi-family,Asia-Pacific,New,9291 to 18580,"100,001 to 200,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,550.38,436.33,9291.0,18580.0,100001,200000.0,7.0,14.0
A00,Commercial,Parking,North America,New,18581 to 46451,"200,001 to 500,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,529.36,436.12,18581.0,46451.0,200001,500000.0,1.0,6.0
A00,Commercial,Other,Asia-Pacific,New,9291 to 18580,"100,001 to 200,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,540.7,435.64,9291.0,18580.0,100001,200000.0,7.0,14.0
A00,Commercial,Other,North America,New,2324 to 4645,"25,001 to 50,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,555.11,434.15,2324.0,4645.0,25001,50000.0,1.0,6.0
A00,Residential,Multi-family,North America,New,18581 to 46451,"200,001 to 500,000",15 to 25,2016.0,40.0,41.0,AB,SF,Y,538.43,432.01,18581.0,46451.0,200001,500000.0,15.0,25.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,543.65,430.91,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",15 to 25,2016.0,40.0,41.0,AB,SF,Y,551.0,425.53,18581.0,46451.0,200001,500000.0,15.0,25.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,530.69,423.37,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,474.65,422.82,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Office,North America,New,46452 to 92903,"500,001 to 1 million",15 to 25,2016.0,40.0,41.0,AB,SF,Y,510.01,418.31,46452.0,92903.0,500001,1000000.0,15.0,25.0
A00,Residential,Multi-family,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,502.08,416.98,18581.0,46451.0,200001,500000.0,1.0,6.0
A00,Commercial,Office,North America,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,527.01,416.63,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Mixed use,Europe,New,18581 to 46451,"200,001 to 500,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,521.48,415.61,18581.0,46451.0,200001,500000.0,7.0,14.0
A00,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,493.18,415.26,18581.0,46451.0,200001,500000.0,1.0,6.0
A00,Residential,Multi-family,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,510.08,413.97,18581.0,46451.0,200001,500000.0,1.0,6.0
A00,Residential,Multi-family,Asia-Pacific,New,2324 to 4645,"25,001 to 50,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,508.7,404.68,2324.0,4645.0,25001,50000.0,7.0,14.0
A00,Residential,Multi-family,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,507.88,403.27,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Residential,Multi-family,Asia-Pacific,New,4646 to 9290,"50,001 to 100,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,505.64,401.06,4646.0,9290.0,500001,100000.0,7.0,14.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,493.66,398.34,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Residential,Multi-family,North America,New,18581 to 46451,"200,001 to 500,000",More than 25,2016.0,40.0,41.0,AB,SF,Y,494.99,395.21,18581.0,46451.0,200001,500000.0,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",15 to 25,2016.0,40.0,41.0,AB,SF,Y,505.14,391.98,46452.0,92903.0,500001,1000000.0,15.0,25.0
A00,Commercial,Other,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",More than 25,2016.0,40.0,41.0,AB,SF,Y,493.48,387.9,18581.0,46451.0,200001,500000.0,25.0,1000000000.0
A00,Commercial,Lodging,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,501.7,386.92,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Residential,Multi-family,North America,New,46452 to 92903,"500,001 to 1 million",15 to 25,2016.0,40.0,41.0,AB,SF,Y,495.34,382.12,46452.0,92903.0,500001,1000000.0,15.0,25.0
A00,Residential,Multi-family,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",More than 25,2016.0,40.0,41.0,AB,SF,Y,479.89,377.97,18581.0,46451.0,200001,500000.0,25.0,1000000000.0
A00,Commercial,Other,North America,New,4646 to 9290,"50,001 to 100,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,496.26,376.77,4646.0,9290.0,500001,100000.0,1.0,6.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,465.87,376.55,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Office,Europe,New,18581 to 46451,"200,001 to 500,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,582.73,374.09,18581.0,46451.0,200001,500000.0,7.0,14.0
A00,Commercial,Office,North America,New,46452 to 92903,"500,001 to 1 million",7 to 14,2016.0,40.0,41.0,AB,SF,Y,483.64,373.32,46452.0,92903.0,500001,1000000.0,7.0,14.0
A00,Commercial,Other,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,456.99,371.39,18581.0,46451.0,200001,500000.0,1.0,6.0
A00,Commercial,Other,North America,New,9291 to 18580,"100,001 to 200,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,459.71,371.22,9291.0,18580.0,100001,200000.0,1.0,6.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,450.49,369.65,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Education,North America,New,9291 to 18580,"100,001 to 200,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,452.68,369.16,9291.0,18580.0,100001,200000.0,1.0,6.0
A00,Commercial,Lodging,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",15 to 25,2016.0,40.0,41.0,AB,SF,Y,434.29,367.59,46452.0,92903.0,500001,1000000.0,15.0,25.0
A00,Commercial,Other,North America,New,9291 to 18580,"100,001 to 200,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,433.19,367.47,9291.0,18580.0,100001,200000.0,1.0,6.0
A00,Residential,Multi-family,North America,New,18581 to 46451,"200,001 to 500,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,482.28,365.74,18581.0,46451.0,200001,500000.0,7.0,14.0
A00,Commercial,Education,North America,New,18581 to 46451,"200,001 to 500,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,450.66,363.77,18581.0,46451.0,200001,500000.0,7.0,14.0
A00,Commercial,Other,Asia-Pacific,New,Over 92903,Over 1 million,7 to 14,2016.0,40.0,41.0,AB,SF,Y,459.44,363.71,92903.0,1000000000.0,1000000,inf,7.0,14.0
A00,Commercial,Other,North America,New,46452 to 92903,"500,001 to 1 million",7 to 14,2016.0,40.0,41.0,AB,SF,Y,458.4,359.4,46452.0,92903.0,500001,1000000.0,7.0,14.0
A00,Commercial,Office,Europe,New,9291 to 18580,"100,001 to 200,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,440.55,356.64,9291.0,18580.0,100001,200000.0,7.0,14.0
A00,Commercial,Office,Asia-Pacific,New,9291 to 18580,"100,001 to 200,000",15 to 25,2016.0,40.0,41.0,AB,SF,Y,448.38,354.58,9291.0,18580.0,100001,200000.0,15.0,25.0
